id,name,project_id,stage_id,priority,description,tag_ids,milestone_id,parent_id,is_closed,date_deadline,date_assign,date_end,allocated_hours,planned_date_begin,create_date,write_date
84,correction des problèmes de DNS sur le serveur,"1,MyMemoMaster","39,validation",0,False,12,False,False,False,2025-10-29 16:30:00,2025-07-14 15:36:55,False,7.0,2025-10-29 08:30:00,2025-07-14 15:26:52,2025-09-21 08:16:15
68,Marketing - définir la stratégie de communication,"1,MyMemoMaster","1,backlog",0,"<h3 data-oe-version=""1.2"" data-last-history-steps=""3429314470607944"">Contexte</h3><p>MyMemoMaster doit définir une <strong>stratégie de communication claire</strong> pour toucher son public cible (étudiants, professeurs, associations).</p><p>
Cette stratégie servira de <strong>fil conducteur</strong> pour toutes les actions marketing (réseaux sociaux, tutoriels, partenariats, événements).</p><h2>✅ Objectifs</h2><ul class=""o_checklist"">
<li><p>Identifier précisément les <strong>cibles principales</strong> (étudiants, enseignants, écoles partenaires).</p></li>
<li><p>Définir le <strong>positionnement</strong> de MyMemoMaster (gratuit, collaboratif, utile pour mieux s’organiser et réviser).</p></li>
<li><p>Choisir les <strong>canaux prioritaires</strong> (ex : Instagram/TikTok pour étudiants, LinkedIn pour enseignants, Discord pour communauté).</p></li>
<li><p>Déterminer le <strong>ton de communication</strong> (pédagogique, accessible, motivant).</p></li>
<li><p>Définir un <strong>calendrier de communication</strong> (avant, pendant, après lancement officiel).</p></li>
</ul><h2>✅ Livrables</h2><ul class=""o_checklist"">
<li><p> <strong>Document de stratégie</strong> (PDF/Notion) présentant :</p><ul>
<li><p>Personas cibles</p></li>
<li><p>Messages clés (3–5 slogans ou phrases d’accroche)</p></li>
<li><p>Ton éditorial</p></li>
<li><p>Canaux à privilégier</p></li>
<li><p>Fréquence de publication</p></li>
<li><p>Idées de contenus (posts, vidéos, témoignages, tutos courts)</p></li>
</ul></li>
<li><p> <strong>Planning éditorial</strong> pour 3 premiers mois</p></li>
<li><p> Présentation courte (slides) pour l’équipe projet</p></li>
</ul><h2>✅ Critères de validation</h2><ul class=""o_checklist"">
<li><p> Les cibles et messages sont validés par l’équipe projet.</p></li>
<li><p> Les canaux de communication choisis sont cohérents avec les ressources disponibles.</p></li>
<li><p> Le planning éditorial couvre au moins 3 mois (idées de posts + fréquence).</p></li>
<li><p> Document validé par l’équipe avant exécution opérationnelle.</p></li>
</ul><h2>✅ Tests / Mesure (marketing)</h2><ul class=""o_checklist"">
<li><p> Définir 2–3 <strong>KPI de communication</strong> (ex : abonnés réseaux sociaux, vues vidéos, taux d’engagement).</p></li>
<li><p> Fixer des <strong>objectifs chiffrés</strong> pour 3 mo</p></li></ul>",11,False,False,False,2025-10-29 16:30:00,False,False,7.0,2025-10-29 08:30:00,2025-07-14 13:52:42,2025-09-21 08:16:15
95,dev -  developpement du back de la leitner box,"1,MyMemoMaster","37,Test/revue",0,False,10,False,False,False,2025-11-19 16:30:00,False,False,126.5,2025-10-29 08:30:00,2025-07-19 09:29:45,2025-09-21 09:08:23
87,config - amélioration du CICD (no gantt & no description),"1,MyMemoMaster","2,en cours",0,"<div data-oe-version=""1.2"" data-last-history-steps=""2926788159887237""><br></div>",12,False,False,False,2026-05-06 16:30:00,2025-09-13 20:03:43,False,7.0,2026-05-06 08:30:00,2025-07-14 15:31:52,2025-09-21 08:16:15
102,dev - developper le back de l'onboarding,"1,MyMemoMaster","1,backlog",0,"<h3 data-oe-version=""1.2"" data-last-history-steps=""4101222796842941"">Contexte</h3><p>L’onboarding ne démarre qu’<strong>après inscription + première connexion</strong>.</p><p>
On doit <strong>stocker côté back</strong> :</p><ul class=""o_checklist"">
<li><p>si l’utilisateur a vu/ignoré le <strong>tour guidé</strong> (tour_seen),</p></li>
<li><p>la <strong>progression</strong> d’une <strong>checklist de démarrage</strong> (todolist, calendrier, mindmap, leitner, exercices).</p></li>
</ul><h3>Branche Git</h3><p>➡️ dev_back_onboarding_state</p><h2>✅ User Stories (Back)</h2><ul class=""o_checklist"">
<li><p> En tant que système, je peux <strong>créer automatiquement</strong> l’état d’onboarding d’un nouvel utilisateur.</p></li>
<li><p> En tant que front, je peux <strong>lire</strong> l’état (GET /me/onboarding).</p></li>
<li><p> En tant que front, je peux <strong>mettre à jour</strong> l’état (PUT /me/onboarding).</p></li>
<li><p> En tant qu’utilisateur, mon état est <strong>scope</strong> à mon compte (jamais celui d’un autre).</p></li>
</ul><h2>✅ Modèle de données (PostgreSQL)</h2><p><strong>Table user_onboarding_state</strong></p><ul class=""o_checklist"">
<li><p> user_id (uuid, pk/fk → users.id)</p></li>
<li><p> tour_seen (bool, default false)</p></li>
<li><p> checklist (jsonb, default {})</p></li>
<li><p> updated_at (timestamptz, default now())</p></li>
</ul><p><strong>Index</strong></p><ul class=""o_checklist"">
<li><p> user_onboarding_state_pkey (user_id)</p></li>
<li><p> (optionnel) GIN sur checklist si besoins analytiques ultérieurs</p></li>
</ul><p><strong>Checklist – clés autorisées (v1)</strong></p><p>
todo_created, event_created, mindmap_created, leitner_session_started, exercise_completed</p><h2>✅ Endpoints (JWT requis)</h2><h3>GET /api/me/onboarding</h3><ul class=""o_checklist"">
<li><p> Retourne l’état pour l’utilisateur connecté.</p></li>
<li><p><strong>200</strong> { tour_seen, checklist } | <strong>401</strong></p></li>
</ul><h3>PUT /api/me/onboarding</h3><ul class=""o_checklist"">
<li><p> Mise à jour partielle de l’état.</p></li>
<li><p><strong>Body</strong> (partiel) :</p></li>
</ul><pre><div dir=""ltr"">{ ""tour_seen"": true, ""checklist"": { ""todo_created"": true } }
</div></pre><ul class=""o_checklist"">
<li><p>Merge côté serveur (pas d’écrasement total).</p></li>
<li><p><strong>200</strong> { tour_seen, checklist } | <strong>400</strong> | <strong>401</strong></p></li>
</ul><blockquote data-o-mail-quote-node=""1"" data-o-mail-quote=""1"">
<p>⚙️ Création <strong>automatique</strong> de la ligne user_onboarding_state si absente (à la première lecture/mise à jour).</p>
</blockquote><h2>✅ Règles métier</h2><ul class=""o_checklist"">
<li><p> L’état est <strong>créé automatiquement</strong> à l’inscription (hook) ou au <strong>premier GET/PUT</strong>.</p></li>
<li><p> La <strong>checklist</strong> n’accepte <strong>que</strong> les clés autorisées (voir liste). Les autres sont ignorées/rejetées.</p></li>
<li><p> updated_at rafraîchi à chaque modification.</p></li>
<li><p> Aucun effet de bord : cet état ne déclenche pas d’autres écritures côté back.</p></li>
</ul><h2>✅ Validation</h2><ul class=""o_checklist"">
<li><p> tour_seen est un booléen.</p></li>
<li><p> checklist est un <strong>objet</strong> dont les clés ⊆ liste autorisée et valeurs booléennes.</p></li>
<li><p> Rejeter payloads trop volumineux (&gt; 4 KB) ou de type incorrect → <strong>400</strong>.</p></li>
</ul><h2>✅ Sécurité</h2><ul class=""o_checklist"">
<li><p> Auth <strong>JWT</strong> obligatoire.</p></li>
<li><p> <strong>Anti-IDOR</strong> : lecture/écriture strictement pour token.sub.</p></li>
<li><p> <strong>Rate limit</strong> douce (ex. 60 req/min par token) sur ces routes.</p></li>
<li><p> Journaux d’accès minimal (niveau debug optionnel).</p></li>
</ul><h2>✅ Implémentation (suggestion Node/Express)</h2><ul class=""o_checklist"">
<li><p> Router : routes/me.onboarding.js</p></li>
<li><p> Controller : controllers/me/onboarding.controller.js</p></li>
<li><p> Service : services/onboarding.service.js</p></li>
<li><p> Repo : repositories/onboarding.repo.js</p></li>
<li><p> Middleware : authJwt, validateBody (zod/ajv), limit</p></li>
</ul><p><strong>Hook d’initialisation (option)</strong></p><ul class=""o_checklist"">
<li><p> À la fin du <strong>signup</strong>, insérer user_onboarding_state(user_id) si non existant.</p></li>
</ul><h2>✅ Tests</h2><p><strong>Unitaires</strong></p><ul class=""o_checklist"">
<li><p> Validation schéma PUT (bool + clés autorisées).</p></li>
<li><p> Merge checklist (ajout/MAJ sans supprimer les autres clés).</p></li>
</ul><p><strong>Intégration</strong></p><ul class=""o_checklist"">
<li><p> GET crée l’état si inexistant (lazy init) et retourne défaut.</p></li>
<li><p> PUT met à jour tour_seen et une/plusieurs clés de checklist.</p></li>
<li><p> Anti-IDOR : impossible d’accéder à l’état d’un autre utilisateur.</p></li>
<li><p> Rate limit → réponses appropriées.</p></li>
</ul><h2>✅ Critères de Validation (Done)</h2><ul class=""o_checklist"">
<li><p> Table user_onboarding_state créée (migrations OK).</p></li>
<li><p> Endpoints GET/PUT /api/me/onboarding opérationnels et sécurisés.</p></li>
<li><p> Création automatique de l’état (signup ou premier accès).</p></li>
<li><p> Checklist bornée aux clés autorisées.</p></li>
<li><p> Tests verts (unit + intégration) en CI.</p></li></ul>",10,False,False,False,2025-11-19 16:30:00,2025-09-13 14:45:15,False,14.0,2025-10-29 08:30:00,2025-08-27 17:46:57,2025-09-21 08:16:16
86,dev -  developper le modèle des tutoriels,"1,MyMemoMaster","2,en cours",0,False,10,False,False,False,2025-12-19 16:30:00,2025-09-21 09:31:52,False,120.0,2025-11-29 08:30:00,2025-07-14 15:29:05,2025-09-21 09:31:52
109,dev -  store des users,"1,MyMemoMaster","37,Test/revue",0,False,9,False,False,False,2026-04-29 16:30:00,2025-09-01 19:55:22,False,7.0,2026-04-29 08:30:00,2025-09-01 19:55:12,2025-09-21 08:16:16
90,IA - choisir une api d'ia,"1,MyMemoMaster","1,backlog",0,False,14,False,False,False,2025-10-29 15:30:00,2025-09-13 21:17:14,False,7.5,2025-10-29 06:30:00,2025-07-14 16:25:42,2025-09-21 09:03:49
113,dev -  Refactor des stores,"1,MyMemoMaster","2,en cours",0,False,"9,12",False,False,False,2025-10-29 17:30:00,2025-09-21 09:32:47,False,5.5,2025-10-29 09:30:00,2025-09-13 14:24:26,2025-09-21 09:32:47
110,config - optimisation du CICD,"1,MyMemoMaster","37,Test/revue",0,False,16,False,False,False,2026-05-06 16:30:00,2025-09-07 14:21:33,False,7.0,2026-05-06 08:30:00,2025-09-07 14:21:12,2025-09-21 08:16:17
